2.55491 0.571879 0.540452 
19.8951 11.7249 8.83006 
1537.06 86650.9 2786.23 
2.2161e+11 4.7709e+14 4.80363e+13 
5.17103e+20 2.4637e+33 1.47866e+31 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 
-nan -nan -nan 

